DATE,GOLD,WHEAT,NIKKEI,COPPER
15/07/2013,1500.8,1051.25,11190,3.11399999999999
16/07/2013,1507.7,1051.5,11325,3.16049999999999
17/07/2013,1494.8,1046.75,11310,3.10249999999999
18/07/2013,1501.5,1046,11515,3.10549999999999
19/07/2013,1510.2,1044.25,11370,3.11399999999999
22/07/2013,1553.3,1040.25,11405,3.15899999999999
23/07/2013,1552,1034.5,11485,3.14399999999999
24/07/2013,1536.8,1033,11450,3.15299999999999
25/07/2013,1546.1,1029.75,11235,3.15949999999999
26/07/2013,1538.8,1030,10830,3.07949999999999
29/07/2013,1545.7,1032.25,10320,3.08149999999999
30/07/2013,1541.3,1036.75,10600,3.01599999999999
31/07/2013,1529.5,1038.75,10310,3.09249999999999
01/08/2013,1527.7,1047.75,10750,3.11399999999999
02/08/2013,1527.2,1042,11180,3.14649999999999
05/08/2013,1519.1,1026.75,10950,3.13399999999999
06/08/2013,1499.5,1031.75,11105,3.13399999999999
07/08/2013,1502.4,1033,10575,3.13399999999999
08/08/2013,1527,1025.75,10335,3.24449999999999
09/08/2013,1529.2,1025.25,10350,3.28049999999999
12/08/2013,1551.2,1018,10190,3.27699999999999
13/08/2013,1537.5,1022,10530,3.27399999999999
14/08/2013,1550.5,1009.5,10690,3.28399999999999
15/08/2013,1578,1018.5,10470,3.29399999999999
16/08/2013,1587.9,1012.5,10350,3.33699999999999
19/08/2013,1582.6,1020.25,10450,3.30599999999999
20/08/2013,1589.5,1015,10090,3.31199999999999
21/08/2013,1587,1018.25,10080,3.30399999999999
22/08/2013,1587.6,1009.5,10030,3.30399999999999
23/08/2013,1612.5,1015,10380,3.32249999999999
26/08/2013,1609.9,1035.75,10330,3.29349999999999
27/08/2013,1636.9,1038.25,10220,3.31399999999999
28/08/2013,1635.4,1034.5,10040,3.27549999999999
29/08/2013,1629.5,1023.25,10140,3.28399999999999
30/08/2013,1612.7,1023,10030,3.23399999999999
02/09/2013,1612.7,1023,10030,3.23399999999999
03/09/2013,1628.6,1025.25,10670,3.27049999999999
04/09/2013,1606.5,1016,10780,3.22149999999999
05/09/2013,1589.5,1009.25,10680,3.22449999999999
06/09/2013,1603.1,1016.75,10530,3.24199999999999
09/09/2013,1603.3,1016,10900,3.26049999999999
10/09/2013,1580.6,1015.5,11080,3.25049999999999
11/09/2013,1580.4,1017,11120,3.25049999999999
12/09/2013,1547.2,1022,11020,3.19049999999999
13/09/2013,1525.3,1016.5,11080,3.18399999999999
16/09/2013,1534.7,1013,11080,3.20249999999999
17/09/2013,1526.3,1013,11030,3.20349999999999
18/09/2013,1524.6,1013.5,11180,3.22049999999999
19/09/2013,1586.4,1027.75,11435,3.32749999999999
20/09/2013,1549.5,1029,11435,3.30099999999999
23/09/2013,1543.9,1025.25,11435,3.27049999999999
24/09/2013,1532.9,1029.25,11425,3.25049999999999
25/09/2013,1552.8,1037.75,11305,3.25249999999999
26/09/2013,1540.5,1037.5,11580,3.28749999999999
27/09/2013,1555.3,1043.5,11495,3.28049999999999
30/09/2013,1544.3,1035.75,11210,3.31049999999999
01/10/2013,1506.3,1037.25,11255,3.31049999999999
02/10/2013,1532.4,1042.75,10925,3.29649999999999
03/10/2013,1533.6,1054.75,10875,3.24899999999999
04/10/2013,1526.9,1055.5,10780,3.25049999999999
07/10/2013,1538.7,1056,10605,3.28049999999999
08/10/2013,1535.8,1062.25,10675,3.27299999999999
09/10/2013,1522.4,1058.75,10815,3.24049999999999
10/10/2013,1503.5,1061,10940,3.22899999999999
11/10/2013,1486.1,1056,11170,3.24949999999999
14/10/2013,1488.4,1055.5,11170,3.28349999999999
15/10/2013,1497.2,1050.5,11210,3.27049999999999
16/10/2013,1495.4,1046,11230,3.28849999999999
17/10/2013,1535.4,1046,11355,3.26049999999999
18/10/2013,1530.5,1063.5,11345,3.26899999999999
21/10/2013,1531.7,1063.75,11460,3.28199999999999
22/10/2013,1556.2,1059,11480,3.28049999999999
23/10/2013,1549.5,1064.25,11185,3.28049999999999
24/10/2013,1562,1066.5,11230,3.24999999999999
25/10/2013,1567.7,1066,10865,3.22049999999999
28/10/2013,1569,1054,11120,3.24599999999999
29/10/2013,1560.7,1052.25,11100,3.26199999999999
30/10/2013,1558.7,1050.25,11295,3.29049999999999
31/10/2013,1539.6,1048.75,11120,3.28049999999999
01/11/2013,1531.4,1049.75,10945,3.30049999999999
04/11/2013,1530.1,1047.25,10945,3.27049999999999
05/11/2013,1526.9,1045,10955,3.25049999999999
06/11/2013,1533.6,1037.5,11105,3.22199999999999
07/11/2013,1523.1,1038,11000,3.21999999999999
08/11/2013,1503.5,1036.5,10773,3.23049999999999
11/11/2013,1499.1,1036.25,10963,3.24049999999999
12/11/2013,1484.3,1028.5,11233,3.20149999999999
13/11/2013,1488.8,1027.25,11283,3.14149999999999
14/11/2013,1503.4,1025.5,11503,3.15049999999999
15/11/2013,1503.6,1026,11853,3.12049999999999
18/11/2013,1489,1018.25,11863,3.13149999999999
19/11/2013,1489.6,1025,11833,3.13449999999999
20/11/2013,1459.6,1019.25,11783,3.15049999999999
21/11/2013,1458.4,1019.5,12103,3.17049999999999
22/11/2013,1458.8,1023.75,12113,3.17049999999999
25/11/2013,1464.4,1026,12293,3.20849999999999
26/11/2013,1457.7,1021.75,12203,3.18199999999999
27/11/2013,1454.2,1028.25,12163,3.19049999999999
28/11/2013,1454.2,1028.25,12163,3.19049999999999
29/11/2013,1466.6,1034.5,12423,3.21049999999999
02/12/2013,1434.4,1027,12373,3.22049999999999
03/12/2013,1438.3,1031,12413,3.19049999999999
04/12/2013,1459,1027.5,12153,3.25599999999999
05/12/2013,1442,1019.25,11843,3.24049999999999
06/12/2013,1444.3,1020,11993,3.26099999999999
09/12/2013,1456.4,1019.5,12333,3.27749999999999
10/12/2013,1478.6,1010.25,12273,3.28499999999999
11/12/2013,1468.8,1011,12193,3.28049999999999
12/12/2013,1442,1011.25,12058,3.31349999999999
13/12/2013,1453.4,1011,12153,3.30049999999999
16/12/2013,1456.3,1004.25,11898,3.34599999999999
17/12/2013,1445.6,996.25,11968,3.34049999999999
18/12/2013,1435.2,991,12268,3.33899999999999
19/12/2013,1406.3,989.75,12443,3.32049999999999
20/12/2013,1417.7,993,12533,3.32299999999999
23/12/2013,1414.2,988.25,12533,3.32899999999999
24/12/2013,1419.5,986.25,12583,3.39449999999999
25/12/2013,1419.5,986.25,12583,3.39449999999999
26/12/2013,1425.9,987.25,12913,3.40049999999999
27/12/2013,1429.9,990,12863,3.40049999999999
30/12/2013,1412.2,982,12973,3.40049999999999
31/12/2013,1419.8,986.5,12973,3.40049999999999
01/01/2014,1419.8,986.5,12973,3.40049999999999
02/01/2014,1440,978.25,12973,3.44049999999999
03/01/2014,1452.6,983.75,12973,3.38049999999999
06/01/2014,1454.8,987,12583,3.36049999999999
07/01/2014,1447.5,980.5,12463,3.38049999999999
08/01/2014,1440.5,967.5,12788,3.36249999999999
