Date,A,B,C,D
2019-03-25,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-03-26,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-03-27,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-03-28,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-03-29,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-04-01,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-04-02,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-04-03,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-04-04,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-04-05,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-04-08,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-04-09,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-04-10,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-04-11,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-04-12,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-04-15,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-04-16,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-04-17,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-04-18,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-04-22,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-04-23,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-04-24,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-04-25,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-04-26,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-04-29,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-04-30,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-05-01,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-05-02,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-05-03,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-05-06,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-05-07,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-05-08,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-05-09,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-05-10,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-05-13,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-05-14,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-05-15,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-05-16,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-05-17,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-05-20,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-05-21,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-05-22,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-05-23,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-05-24,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-05-28,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-05-29,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-05-30,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-05-31,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-06-03,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-06-04,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-06-05,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-06-06,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-06-07,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-06-10,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-06-11,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-06-12,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-06-13,14.333576010700178,13.936461777262066,10.448599972253737,8.202656736912713
2019-06-14,7.2547775507773755,7.053782668293738,5.288440823083665,4.151682030169122
2019-06-17,4.886680106793845,4.75129377869135,3.5621931045081117,2.796494013022772
2019-06-18,3.66660005636467,3.565016259716826,2.672803857083394,2.0982804034005347
2019-06-19,2.934391573552756,2.85309374114382,2.1390533451747618,1.6792604156544066
2019-06-20,2.4482929068760177,2.3804625231518,1.7847069830834328,1.401081369473351
2019-06-21,2.103007091356039,2.044742911616431,1.533007521639308,1.2034851088667138
2019-06-24,1.8445913558960947,1.7934866293605523,1.344632851958758,1.0556018749959486
2019-06-25,1.6416223866156237,1.596140950917439,1.196676643039983,0.9394490892563796
2019-06-26,1.4749982118256524,1.4341331280688518,1.0752143263935559,0.8440952913727825
2019-06-27,1.34021940583212,1.3030883924975134,0.9769660017945067,0.7669656009068025
2019-06-28,1.2305937857061595,1.1964999693745202,0.8970533372541766,0.7042302911143848
2019-07-01,1.1363250508732494,1.104842966348272,0.8283352239637984,0.6502832459192315
2019-07-02,1.0553888495873631,1.0261491166923657,0.769335990982529,0.6039659922037458
2019-07-03,0.9854171648250014,0.9581160097096199,0.7183294492150886,0.5639233879729065
2019-07-05,0.9240443626320459,0.898443551748879,0.6735911467278558,0.5288016549876803
