Date,BasketValues
2019-07-25,1395.764323959601
2019-07-26,1399.5611118530678
2019-07-29,1388.7486046530694
2019-07-30,1387.8830249530859
2019-07-31,1371.212470681626
2019-08-01,1359.2016418843327
2019-08-02,1338.7791443386025
2019-08-05,1286.2939803293157
2019-08-06,1307.7743520876384
2019-08-07,1312.7656813840872
2019-08-08,1347.7712804454493
2019-08-09,1332.883125728514
2019-08-12,1314.2343828301243
2019-08-13,1346.3031636575643
2019-08-14,1296.9373472647528
2019-08-15,1300.9632899126623
2019-08-16,1321.2903364362232
2019-08-19,1341.6357751448666
2019-08-20,1330.6397031371903
2019-08-21,1339.2933935824606
2019-08-22,1333.2833398544294
2019-08-23,1289.8170634097387
2019-08-26,1310.3721578539883
2019-08-27,1308.4434107767656
2019-08-28,1311.1024628318535
2019-08-29,1335.3344322288285
2019-08-30,1334.4639967420533
2019-09-03,1314.8015994247612
2019-09-04,1336.2136822182824
2019-09-05,1362.6797732326152
2019-09-06,1353.0896166336695
2019-09-09,1357.2362130868494
2019-09-10,1352.1603181211594
2019-09-11,1368.4395263258539
2019-09-12,1371.2518391515634
2019-09-13,1364.8158106345986
2019-09-16,1358.5914774622145
2019-09-17,1368.2634415720945
2019-09-18,1374.8077255710682
2019-09-19,1383.9073004237266
2019-09-20,1372.7401467293807
2019-09-23,1367.2207595453838
2019-09-24,1345.0686646634529
2019-09-25,1360.3886496769235
2019-09-26,1352.3707727408057
2019-09-27,1339.7919552430708
2019-09-30,1353.1350191327822
2019-10-01,1337.0102276258958
2019-10-02,1314.1909886987098
2019-10-03,1332.6680429370806
2019-10-04,1354.0292515452695
2019-10-07,1347.9113529348476
2019-10-08,1329.3445871428871
2019-10-09,1348.7780439316246
2019-10-10,1358.218876160638
2019-10-11,1383.4308799012363
2019-10-14,1380.0211535567776
2019-10-15,1400.751536102266
2019-10-16,1396.279389939656
2019-10-17,1397.84762608885
2019-10-18,1388.9499120286373
2019-10-21,1410.2581204804694
2019-10-22,1391.8810702562341
2019-10-23,1409.7520500778742
2019-10-24,1418.3669269545871
2019-10-25,1425.1494425641731
2019-10-28,1444.253943328005
2019-10-29,1424.9389773614764
2019-10-30,1426.5459855959002
2019-10-31,1441.4638860710793
2019-11-01,1466.655979111054
2019-11-04,1476.7189273363629
2019-11-05,1476.549324699618
2019-11-06,1471.621463496292
2019-11-07,1475.4074751670848
2019-11-08,1481.302389020935
2019-11-11,1485.8449776106802
2019-11-12,1495.7831972667748
2019-11-13,1498.3056842097262
2019-11-14,1495.659953269011
2019-11-15,1512.0818509700039
2019-11-18,1519.5158196955745
2019-11-19,1521.420261644615
2019-11-20,1507.3042789360666
2019-11-21,1504.532692836455
2019-11-22,1506.1181975974107
2019-11-25,1524.668268833315
2019-11-26,1519.4998824876398
2019-11-27,1535.5634474579208
2019-11-29,1530.7558575998328
2019-12-02,1512.2504323058224
2019-12-03,1494.6857971371267
2019-12-04,1502.9576643066569
2019-12-05,1514.458512986795
2019-12-06,1537.2882492422066
2019-12-09,1525.7346508956377
2019-12-10,1528.5816623499577
2019-12-11,1538.9043579347176
2019-12-12,1538.923948662463
2019-12-13,1547.0386758742566
2019-12-16,1568.3304943765058
2019-12-17,1568.8846536632952
2019-12-18,1572.7228815374924
2019-12-19,1583.1497954419247
2019-12-20,1586.3021056808855
2019-12-23,1597.8548652270367
2019-12-24,1596.735519411148
2019-12-26,1619.3539341153194
2019-12-27,1620.3704935386095
2019-12-30,1615.5259999717707
2019-12-31,1623.5096321542765
2020-01-02,1657.518605567356
2020-01-03,1641.143224438477
2020-01-06,1654.7946591199154
2020-01-07,1648.6139705262913
2020-01-08,1671.848166516134
2020-01-09,1700.2540970340717
2020-01-10,1698.8670931635793
2020-01-13,1728.3401568036277
2020-01-14,1708.8757369585035
2020-01-15,1710.1737051478456
2020-01-16,1731.149962721432
2020-01-17,1745.4381206219812
2020-01-21,1734.1268127592261
2020-01-22,1734.8783603852971
2020-01-23,1738.7050029867803
2020-01-24,1727.1514994000916
2020-01-27,1687.2510094503348
